reference,read_count
A0A2R6GWJ1|UNREVIEWED|DIHYDROFOLATE,1
A0A1C6LHR1_9NEIS,1
A0A1W2CHB4_9DELT,1
A0A520AFY5|UNREVIEWED|DIHYDROFOLATE,1
A0A7X7K712|UNREVIEWED|DIHYDROFOLATE,1
A0A2T4XCD3|UNREVIEWED|DIHYDROFOLATE,1
A0A556QQM3_9BACT,1
A0A059XF05|UNREVIEWED|DIHYDROFOLATE,1
A0A1V5HPW9|UNREVIEWED|DIHYDROFOLATE,1
A0A2E9H883|UNREVIEWED|DIHYDROFOLATE,1
A0A059WLG4|UNREVIEWED|DIHYDROFOLATE,1
2812415200,1
A0A6P2EHQ5_9BURK,1
2795427395,1
A0A316NM48|UNREVIEWED|DIHYDROFOLATE,1
A0A1G8BU19_9VIBR,1
A0A0C2HGR4_9STAP,1
A0A418VWG2|UNREVIEWED|DIHYDROFOLATE,1
C5WG30~cp4,1
A0A7C7EJD6|UNREVIEWED|DIHYDROFOLATE,1
A0A2C8ZW38_9MICO,1
Q92AD5~cp5,1
A0A1G8CW41|UNREVIEWED|DIHYDROFOLATE,1
A0A838T8E8|UNREVIEWED|DIHYDROFOLATE,1
D2QWB5_PIRSD,1
A0A2W0H3H4_9BACI,1
A0A4D6YCD5|UNREVIEWED|DIHYDROFOLATE,1
A0A6H2EKY5|UNREVIEWED|DIHYDROFOLATE,1
A0A059WX60|UNREVIEWED|DIHYDROFOLATE,1
A0A810Q5Y7|UNREVIEWED|DIHYDROFOLATE,1
Q2FV99_SNUT~cp3,1
A0A5C0B353_9BURK,1
A0A2E3QYE9|UNREVIEWED|DIHYDROFOLATE,1
A0A6N9SIU7|UNREVIEWED|DIHYDROFOLATE,1
A0A5M6CRB9_9BACT,1
A0A2G6DMC6|UNREVIEWED|DIHYDROFOLATE,1
2574208518,1
2587535202,1
A0A844YWZ9|UNREVIEWED|DIHYDROFOLATE,1
A0A2E6QYG2|UNREVIEWED|DIHYDROFOLATE,1
A0A1C7D5D7_9SPHN,1
2887494936,1
A0A3M1E4Y2|UNREVIEWED|DIHYDROFOLATE,1
A0A1Q6M7C0|UNREVIEWED|DIHYDROFOLATE,1
A0A0S8CA59|UNREVIEWED|DIHYDROFOLATE,1
A0A5F8HIZ3_MONDO,1
A0A1H9FMI6_9BACT,1
A3X8B1|UNREVIEWED|DIHYDROFOLATE,1
2799937000,1
A0A087MJZ0_9GAMM,1
A0A7D6E807|UNREVIEWED|DIHYDROFOLATE,1
D1MX71|UNREVIEWED|DIHYDROFOLATE,1
A0A1G1AQV3|UNREVIEWED|DIHYDROFOLATE,1
A0A1F5ZFE9|UNREVIEWED|DIHYDROFOLATE,1
